CustomerID,Recency,Frequency,Monetary,AvgTransactionValue,Tenure,MonthlyFrequency,Cluster
12346,326,1,77183.6,77183.6,326,0.09202453987730061,3
12347,2,7,4310.0,615.7142857142857,367,0.5722070844686649,0
12348,75,4,1797.24,449.31,358,0.33519553072625696,0
12349,19,1,1757.55,1757.55,19,1.5789473684210527,1
12350,310,1,334.4,334.4,310,0.0967741935483871,0
12352,36,8,2506.04,313.255,297,0.8080808080808081,0
12353,204,1,89.0,89.0,204,0.14705882352941177,0
12354,232,1,1079.4,1079.4,232,0.12931034482758622,0
12355,214,1,459.4,459.4,214,0.14018691588785046,0
12356,23,3,2811.43,937.1433333333333,326,0.2760736196319018,0
12357,33,1,6207.67,6207.67,33,0.9090909090909091,1
12358,2,2,1168.06,584.03,151,0.3973509933774835,1
12359,58,4,6372.58,1593.145,332,0.3614457831325301,0
12360,52,3,2662.06,887.3533333333334,201,0.44776119402985076,1
12361,287,1,189.9,189.9,287,0.10452961672473868,0
12362,3,10,5226.23,522.6229999999999,296,1.0135135135135134,0
12363,110,2,552.0,276.0,242,0.24793388429752067,0
12364,8,4,1313.1,328.275,112,1.0714285714285714,1
12365,291,2,641.38,320.69,291,0.2061855670103093,0
12367,4,1,168.9,168.9,4,7.5,1
12370,51,4,3545.69,886.4225,360,0.3333333333333333,0
12371,45,2,1887.96,943.98,60,1.0,1
12372,72,3,1298.04,432.68,297,0.30303030303030304,0
12373,311,1,364.6,364.6,311,0.09646302250803858,0
12374,25,1,742.9300000000001,742.9300000000001,25,1.2,1
12375,11,2,457.5,228.75,98,0.6122448979591837,1
12377,315,2,1628.12,814.06,355,0.16901408450704225,0
12378,130,1,4008.62,4008.62,130,0.23076923076923078,1
12379,82,2,852.24,426.12,170,0.3529411764705882,1
12380,22,4,2724.81,681.2025,186,0.6451612903225806,1
12381,5,5,1845.31,369.062,120,1.25,1
12383,185,5,1850.56,370.11199999999997,352,0.42613636363636365,0
12384,29,2,585.27,292.635,122,0.49180327868852464,1
12386,338,2,401.9,200.95,367,0.16348773841961853,0
12388,16,6,2780.66,463.4433333333333,327,0.5504587155963303,0
12390,80,1,549.84,549.84,80,0.375,1
12391,22,1,460.89,460.89,22,1.3636363636363638,1
12393,72,4,1582.6000000000001,395.65000000000003,333,0.3603603603603604,0
12394,64,2,1272.48,636.24,217,0.2764976958525346,0
